date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:50	89/89	---MCZ	200	added ('OK')	text/plain	date:Mon,%2006%20Dec%202021%2014:21:49%20GMT	https://180.210.207.149/robots.txt		(from )
22:21:50	122061/122061	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2014:21:49%20GMT	https://180.210.207.149/	C:/Users/Goon/Downloads/Klik99/180.210.207.149/index.html	(from )
22:21:50	4404/4404	---M--	200	added ('OK')	image/webp	etag:%2261498337-1134%22	https://180.210.207.149/template/alpha/desktop/assets/klik99/img/logo/favicon.webp?v=0.4	C:/Users/Goon/Downloads/Klik99/180.210.207.149/template/alpha/desktop/assets/klik99/img/logo/favicon1e02.webp	(from https://180.210.207.149/)
22:21:50	9362/9362	---M--	200	added ('OK')	image/webp	etag:%2261498337-2492%22	https://180.210.207.149/template/alpha/desktop/assets/klik99/img/home/Banner-min.webp	C:/Users/Goon/Downloads/Klik99/180.210.207.149/template/alpha/desktop/assets/klik99/img/home/Banner-min.webp	(from https://180.210.207.149/)
22:21:50	3888/3888	---M--	200	added ('OK')	text/css	etag:%22939541f5bbed2b943074d2f0432993e7%22	https://s3-ap-southeast-1.amazonaws.com/idnpopups/retention/tingle.min.css	C:/Users/Goon/Downloads/Klik99/s3-ap-southeast-1.amazonaws.com/idnpopups/retention/tingle.min.css	(from https://180.210.207.149/)
22:21:51	1964/1964	---M-Z	200	added ('OK')	text/css	etag:%2261498337-7ac%22	https://180.210.207.149/template/alpha/desktop/assets/klik99/css/nw-style.css?v=0.4	C:/Users/Goon/Downloads/Klik99/180.210.207.149/template/alpha/desktop/assets/klik99/css/nw-style1e02.css	(from https://180.210.207.149/)
22:21:51	72733/72733	---M-Z	200	added ('OK')	text/css	etag:%226104cc85-11c1d%22	https://180.210.207.149/template/alpha/assets/css/all.css?v=18.8	C:/Users/Goon/Downloads/Klik99/180.210.207.149/template/alpha/assets/css/allf713.css	(from https://180.210.207.149/)
22:21:51	6211/6211	---M-Z	200	added ('OK')	text/css	etag:%226104cc85-1843%22	https://180.210.207.149/template/alpha/assets/css/owl.carousel.css?v=18.8	C:/Users/Goon/Downloads/Klik99/180.210.207.149/template/alpha/assets/css/owl.carouself713.css	(from https://180.210.207.149/)
22:21:51	982805/982805	---MCZ	200	added ('OK')	text/css	etag:%22618a1c43-eff15%22	https://180.210.207.149/template/alpha/desktop/assets/klik99/css/app__klik99.css?v=18.8	C:/Users/Goon/Downloads/Klik99/180.210.207.149/template/alpha/desktop/assets/klik99/css/app__klik99f713.css	(from https://180.210.207.149/)
22:21:52	41506/41506	---M-Z	200	added ('OK')	text/css	etag:%2260e54e5a-a222%22	https://180.210.207.149/plugins/izi-toast/iziToast.min.css?v=18.8	C:/Users/Goon/Downloads/Klik99/180.210.207.149/plugins/izi-toast/iziToast.minf713.css	(from https://180.210.207.149/)
22:21:52	4679/4679	---M--	200	added ('OK')	image/webp	etag:%2261498337-1247%22	https://180.210.207.149/template/alpha/desktop/assets/klik99/img/logo/logo.webp	C:/Users/Goon/Downloads/Klik99/180.210.207.149/template/alpha/desktop/assets/klik99/img/logo/logo.webp	(from https://180.210.207.149/)
22:21:52	57298/57298	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2014:21:52%20GMT	https://180.210.207.149/forgot_password	C:/Users/Goon/Downloads/Klik99/180.210.207.149/forgot_password.html	(from https://180.210.207.149/)
